country_code,year,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,BN.CAB.XOKA.GD.ZS,FI.RES.TOTL.MO,GC.DOD.TOTL.GD.ZS,NY.GNS.ICTR.ZS,DT.DOD.DECT.GD.ZS,NY.GDP.PCAP.CD,FR.INR.RINR,GC.BAL.CASH.GD.ZS,country_name
MYS,2020,-5.45684658426701,-1.1387021539305,4.18956779359845,6.26880997379088,62.0067215086738,23.8210614819294,,9957.52626697613,4.80149199718223,,Malaysia
MYS,2021,3.31534954399166,2.47710241465447,3.87747951420626,5.18620609619313,63.2668366732951,26.0099609240741,,10903.1037480772,-2.11195861208843,,Malaysia
MYS,2022,9.03173723044451,3.37869862549928,3.1234711057235,4.32861908087948,60.1479261322487,26.7807789507514,,11754.5678336248,-2.2468071304743,,Malaysia
MYS,2023,3.5370638041057,2.48886560125754,1.56447203150546,4.77774044018093,64.2816241956596,23.8583516969162,,11386.0395636528,7.30135969525267,,Malaysia
MYS,2024,5.10545921024041,1.834100204499,1.69342393177115,4.45057833503037,64.566529006102,23.3780820262118,,11874.4273684245,4.45730372233753,,Malaysia
PHL,2005,4.94250511877678,6.51685393258433,1.8529075905422,4.60349149593322,65.7097431233166,37.7714550955846,,1220.46018559867,4.03548972128812,,Philippines
PHL,2006,5.31641682136939,5.4852320675105,5.4545225788942,5.08825460250244,58.7978739921016,37.2282016275856,,1426.14649179546,4.4401194500866,,Philippines
PHL,2007,6.51929155018938,2.90000000000003,5.17497335468166,6.74013026531761,51.5748916279875,36.7544223626749,,1712.65543282793,5.35759701816081,,Philippines
PHL,2008,4.34448730509183,8.26044703595725,0.0792959465366613,6.39953482387135,52.4322709324654,36.0222747408748,,1959.29233534978,1.46657832194707,,Philippines
PHL,2009,1.44832306275669,4.21903052064628,4.80078349700448,9.18511809848311,52.4006931344165,37.9486917120278,,1864.45043406471,5.67257824063165,,Philippines
PHL,2010,7.33449996034538,3.78983634797591,3.44540917722718,10.437269739216,50.1962414764938,39.7514910839799,,2162.91375885614,3.16350898272397,,Philippines
PHL,2011,3.85823282795663,4.7184170471842,2.40919069913571,11.5996405959486,48.8058481254572,36.8750710888523,,2383.91892522087,2.64095050382798,,Philippines
PHL,2012,6.89695171050985,3.02696391124796,2.65327822085759,11.4738762540142,49.1574552067049,35.1328493512711,,2614.61644401308,3.61326895733707,,Philippines
PHL,2013,6.75053130142255,2.58268766141795,4.00964958369035,11.620931882498,47.1441818576352,36.3544017148818,,2781.27957677397,3.63093412149458,,Philippines
